codigo_sku,nome_projeto,segmentacao_prioridade,estoque_atual,consumo_medio_diario,cobertura_dias,acao_ressuprimento,sinal_redistribuicao
BTB0091N,BikeSampa,sem segmentacao,63,"1,8",35,estoque saudavel,sem oportunidade clara
BTB0092-N,BikePoa,sem segmentacao,27,1,27,estoque saudavel,sem oportunidade clara
BTB0096N,BikeRio,sem segmentacao,25,"1,5","16,67",estoque saudavel,sem oportunidade clara
BTB0112,BikeBSB,sem segmentacao,"13,87","0,33","42,46",estoque saudavel,sem oportunidade clara
BTB0125,BikeBH,sem segmentacao,130,6,"21,67",estoque saudavel,sem oportunidade clara
BTB0125,BikeFloripa,sem segmentacao,109,"4,33","25,15",estoque saudavel,sem oportunidade clara
BTB0170,BikeSampa,sem segmentacao,300,17,"17,65",estoque saudavel,sem oportunidade clara
ECB0149,BikeBH,sem segmentacao,175,10,"17,5",estoque saudavel,sem oportunidade clara
ETB0288,BikeSSA,sem segmentacao,72,4,18,estoque saudavel,sem oportunidade clara
FCB0016,BikePE,sem segmentacao,118,"6,67","17,7",estoque saudavel,sem oportunidade clara
FCB0016,BikeSampa,sem segmentacao,61,"3,2","19,06",estoque saudavel,sem oportunidade clara
FCB0023,BikePoa,sem segmentacao,31,1,31,estoque saudavel,sem oportunidade clara
FCB0126,BikeRio,sem segmentacao,22,1,22,estoque saudavel,sem oportunidade clara
FTB0157,BikeBH,sem segmentacao,18,1,18,estoque saudavel,sem oportunidade clara
BCB0149,BikeRio,A,2.300,"39,29","58,55",excesso de estoque,candidato a redistribuicao
BTB0043,BikeRio,A,461,"5,55","83,13",excesso de estoque,candidato a redistribuicao
BTB0072,BikeRio,A,377,"1,5","251,33",excesso de estoque,candidato a redistribuicao
BTB0179-2,BikeRio,A,1.490,10,149,excesso de estoque,candidato a redistribuicao
BBTI0023,BikeRio,B,132,"1,33",99,excesso de estoque,candidato a redistribuicao
BBTI0100,BikeRio,B,64,1,64,excesso de estoque,candidato a redistribuicao
BBTN0013,BikeRio,B,156,"2,83","55,06",excesso de estoque,candidato a redistribuicao
BOKI0035,BikeSSA,B,48,1,48,excesso de estoque,candidato a redistribuicao
BTB0069,BikeRio,B,165,1,165,excesso de estoque,candidato a redistribuicao
BTB0081N,BikePoa,B,479,6,"79,83",excesso de estoque,candidato a redistribuicao
BTB0134-1,BikePoa,B,2.290,15,"152,67",excesso de estoque,candidato a redistribuicao
BTB0149,BikeSampa,B,491,2,"245,5",excesso de estoque,candidato a redistribuicao
BTB0059N,BikeRio,C,66,1,66,excesso de estoque,candidato a redistribuicao
BTB0070N,BikePE,C,114,1,114,excesso de estoque,candidato a redistribuicao
BTB0111,BikeSampa,C,243,2,"121,5",excesso de estoque,candidato a redistribuicao
BBET0297,BikeBH,D,52,1,52,excesso de estoque,candidato a redistribuicao
BBET0157,BikeFloripa,sem segmentacao,113,2,"56,5",excesso de estoque,candidato a redistribuicao
BBET0327,BikePoa,sem segmentacao,208,1,208,excesso de estoque,candidato a redistribuicao
BBTI0098,BikeRio,sem segmentacao,1.044,1,1.044,excesso de estoque,candidato a redistribuicao
BBTI0099,BikeRio,sem segmentacao,330,1,330,excesso de estoque,candidato a redistribuicao
BBTI0152,BikeSampa,sem segmentacao,223,"2,83","78,71",excesso de estoque,candidato a redistribuicao
BII0047,BikeSampa,sem segmentacao,472,"2,67",177,excesso de estoque,candidato a redistribuicao
BTB0069N,BikePoa,sem segmentacao,136,1,136,excesso de estoque,candidato a redistribuicao
BTB0078,BikeSampa,sem segmentacao,210,3,70,excesso de estoque,candidato a redistribuicao
BTB0085,BikeRio,sem segmentacao,2.400,"3,5","685,71",excesso de estoque,candidato a redistribuicao
BTB0091,BikeRio,sem segmentacao,1.745,"23,75","73,47",excesso de estoque,candidato a redistribuicao
BTB0121,BikeSampa,sem segmentacao,1.835,6,"305,83",excesso de estoque,candidato a redistribuicao
BTB0142,BikeSampa,sem segmentacao,83,1,83,excesso de estoque,candidato a redistribuicao
BTB0154,BikeRio,sem segmentacao,15.330,220,"69,68",excesso de estoque,candidato a redistribuicao
BTB0179-20,BikeSampa,sem segmentacao,476,"9,5","50,11",excesso de estoque,candidato a redistribuicao
BTB0197,BikeSampa,sem segmentacao,1.770,25,"70,8",excesso de estoque,candidato a redistribuicao
BTB0211,BikePoa,sem segmentacao,172,"1,67","103,2",excesso de estoque,candidato a redistribuicao
BTB0244,BikeRio,sem segmentacao,70,1,70,excesso de estoque,candidato a redistribuicao
GPS0008,BikePoa,sem segmentacao,50,1,50,excesso de estoque,candidato a redistribuicao
BBET0012,BikeFloripa,A,49,1,49,excesso de estoque,sem oportunidade clara
BBET0252,BikeBH,A,182,"2,4","75,83",excesso de estoque,sem oportunidade clara
BBET0253,BikeBH,A,192,2,96,excesso de estoque,sem oportunidade clara
BBET0255,BikeBH,A,213,"2,5","85,2",excesso de estoque,sem oportunidade clara
BBTN0004-1,BikeRio,A,307,4,"76,75",excesso de estoque,sem oportunidade clara
