codigo_sku,nome_projeto,segmentacao_prioridade,dias_com_ruptura,taxa_ruptura,primeira_data_ruptura,ultima_data_ruptura,qte_eventos_ruptura,status_ultimo_dia
IND0728,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BCB0123,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0306,BikePE,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1345,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0331,BikeCuritiba,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BCB0148,BikePE,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0332,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BCB0178,BikePoa,A,17,1,2026-02-07,2026-02-23,1,em ruptura
BTB0019,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1314,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0361,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
ATV0159,BikeFloripa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0533,BikePE,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BCB0289,BikeBSB,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0513,BikeBSB,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1301,BikeFloripa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0620,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BCB0382,BikeFloripa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0531,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BEFI0002-1,BikeSampa,A,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0587,BikePE,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1279,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0591,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1270,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
ATV0015,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1265,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0047,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1260,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
SE1402,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
SE0014,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0023,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BEFI0056,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0519,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BEFI0065,BikeRio,A,17,1,2026-02-07,2026-02-23,1,em ruptura
GPS0006,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1235,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
ETB0075,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1232,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
ETB0086,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BEFN0001,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0463,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BEFN0012,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
FTB0287,BikeCuritiba,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1209,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BTB0091,BikeCuritiba,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BEFN0059,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
FTB0189,BikeFloripa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1200,BikeCuritiba,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0430,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1192,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
FTB0125,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BBTI0047,BikePE,A,17,1,2026-02-07,2026-02-23,1,em ruptura
ETB0526,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1184,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
FTB0087,BikeFloripa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1173,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0381,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BEFN0150,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
ETB0631,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1157,BikeFloripa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
PACB099,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BII0019,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
FTB0008,BikeBSB,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1126,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0352,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BII0048,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
FCB0061,BikeBH,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1114,BikePE,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0316,BikeFloripa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
SE1102,BikeFloripa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BMVO0003,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
FCB0107,BikeBSB,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1085,BikePE,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
FCB0139,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1083,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BTB0152,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0986,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0294,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1052,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BTB0164,BikePoa,A,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1034,BikePE,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0266,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BOKI0065,BikeSSA,A,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0244,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
SE1719,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0217,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0997,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0199,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0965,BikePE,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0172,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0955,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0151,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BVV0004,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0120,BikeBH,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0931,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BTB0260-V6,BikeBSB,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BOKN0025,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0072,BikePE,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BOKN0048-4,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
CONSULTORIA,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
SE0711,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
ECB0100,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BPN0040,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
ECB0178-1,BikePE,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0065,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
ECB0276,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BPN0071,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
EET0008,BikeFloripa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BBTN0002-3,BikeCuritiba,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0061,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BBTN0002-4,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BPN0143,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BBTN0002-5,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0011,BikeBH,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BBTN0002-7,BikeCuritiba,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0027,BikeBH,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BBTN0002-8,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0024,BikeBSB,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BBTN0002-9,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0852,BikePE,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BBI0001,BikeCuritiba,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0047,BikeBSB,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
MCB0004,BikeBSB,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BBI0020,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
LOCAGYMPASS,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0056,BikeCuritiba,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0059,BikeBH,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0822,BikeBSB,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BBTN0013,BikePoa,A,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0072,BikeFloripa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1960,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
