codigo,segmentacao,projeto,ingestion_date
BTB0004,A,riviera,2026-02-11
BTB0004,A,riviera,2026-02-07
BTB0004,A,riviera,2026-02-14
BTB0004,A,riviera,2026-02-10
BTB0005,A,riviera,2026-02-11
BTB0005,A,riviera,2026-02-16
BTB0005,A,riviera,2026-02-12
BTB0005,A,riviera,2026-02-17
BTB0005,A,riviera,2026-02-13
BTB0005,A,riviera,2026-02-23
BTB0005,A,riviera,2026-02-10
BTB0005,A,riviera,2026-02-19
BTB0005,A,riviera,2026-02-15
BTB0005,A,riviera,2026-02-22
BTB0005,A,riviera,2026-02-20
BTB0005,A,riviera,2026-02-08
BTB0005,A,riviera,2026-02-09
BTB0005,A,riviera,2026-02-07
BTB0005,A,riviera,2026-02-18
BTB0005,A,riviera,2026-02-21
BTB0005,A,riviera,2026-02-14
BTB0007,B,riviera,2026-02-20
BTB0007,B,riviera,2026-02-18
BTB0007,B,riviera,2026-02-10
BTB0007,B,riviera,2026-02-15
BTB0007,B,riviera,2026-02-17
BTB0007,B,riviera,2026-02-14
BTB0007,B,riviera,2026-02-23
BTB0007,B,riviera,2026-02-16
BTB0007,B,riviera,2026-02-22
BTB0007,B,riviera,2026-02-11
BTB0007,B,riviera,2026-02-19
BTB0007,B,riviera,2026-02-13
BTB0007,B,riviera,2026-02-08
BTB0007,B,riviera,2026-02-09
BTB0007,B,riviera,2026-02-07
BTB0007,B,riviera,2026-02-12
BTB0007,B,riviera,2026-02-21
BTB0010N,D,riviera,2026-02-12
BTB0010N,D,riviera,2026-02-09
BTB0010N,D,riviera,2026-02-11
BTB0010N,D,riviera,2026-02-15
BTB0010N,D,riviera,2026-02-18
BTB0010N,D,riviera,2026-02-13
BTB0010N,D,riviera,2026-02-07
BTB0010N,D,riviera,2026-02-23
BTB0010N,D,riviera,2026-02-14
BTB0010N,D,riviera,2026-02-21
BTB0010N,D,riviera,2026-02-17
BTB0010N,D,riviera,2026-02-16
BTB0010N,D,riviera,2026-02-10
BTB0010N,D,riviera,2026-02-22
BTB0010N,D,riviera,2026-02-20
BTB0010N,D,riviera,2026-02-08
BTB0010N,D,riviera,2026-02-19
BTB0012,C,riviera,2026-02-17
BTB0012,C,riviera,2026-02-10
BTB0012,C,riviera,2026-02-12
BTB0012,C,riviera,2026-02-11
BTB0012,C,riviera,2026-02-08
BTB0012,C,riviera,2026-02-14
BTB0012,C,riviera,2026-02-07
BTB0012,C,riviera,2026-02-23
BTB0012,C,riviera,2026-02-13
BTB0012,C,riviera,2026-02-22
BTB0012,C,riviera,2026-02-09
BTB0012,C,riviera,2026-02-19
BTB0012,C,riviera,2026-02-21
BTB0012,C,riviera,2026-02-18
BTB0012,C,riviera,2026-02-20
BTB0012,C,riviera,2026-02-15
BTB0012,C,riviera,2026-02-16
BTB0013,A,riviera,2026-02-09
BTB0013,A,riviera,2026-02-13
BTB0013,A,riviera,2026-02-18
BTB0013,A,riviera,2026-02-12
BTB0013,A,riviera,2026-02-08
BTB0013,A,riviera,2026-02-20
BTB0013,A,riviera,2026-02-23
BTB0013,A,riviera,2026-02-14
BTB0013,A,riviera,2026-02-17
BTB0013,A,riviera,2026-02-21
BTB0013,A,riviera,2026-02-16
BTB0013,A,riviera,2026-02-11
BTB0013,A,riviera,2026-02-10
BTB0013,A,riviera,2026-02-22
BTB0013,A,riviera,2026-02-07
BTB0013,A,riviera,2026-02-19
BTB0013,A,riviera,2026-02-15
BTB0014N,B,riviera,2026-02-13
BTB0014N,B,riviera,2026-02-23
BTB0014N,B,riviera,2026-02-09
BTB0014N,B,riviera,2026-02-07
BTB0014N,B,riviera,2026-02-17
BTB0014N,B,riviera,2026-02-12
BTB0014N,B,riviera,2026-02-16
BTB0014N,B,riviera,2026-02-10
BTB0014N,B,riviera,2026-02-21
BTB0014N,B,riviera,2026-02-19
BTB0014N,B,riviera,2026-02-20
BTB0014N,B,riviera,2026-02-15
BTB0014N,B,riviera,2026-02-11
BTB0014N,B,riviera,2026-02-22
BTB0014N,B,riviera,2026-02-08
BTB0014N,B,riviera,2026-02-14
BTB0014N,B,riviera,2026-02-18
BTB0018,D,riviera,2026-02-15
BTB0018,D,riviera,2026-02-09
BTB0018,D,riviera,2026-02-13
BTB0018,D,riviera,2026-02-22
BTB0018,D,riviera,2026-02-11
BTB0018,D,riviera,2026-02-12
BTB0018,D,riviera,2026-02-10
BTB0018,D,riviera,2026-02-07
BTB0018,D,riviera,2026-02-21
BTB0018,D,riviera,2026-02-18
BTB0018,D,riviera,2026-02-17
BTB0018,D,riviera,2026-02-14
BTB0018,D,riviera,2026-02-08
BTB0018,D,riviera,2026-02-16
BTB0018,D,riviera,2026-02-23
BTB0018,D,riviera,2026-02-20
BTB0018,D,riviera,2026-02-19
BTB0019N,C,riviera,2026-02-12
BTB0019N,C,riviera,2026-02-17
BTB0019N,C,riviera,2026-02-10
BTB0019N,C,riviera,2026-02-07
BTB0019N,C,riviera,2026-02-18
BTB0019N,C,riviera,2026-02-22
BTB0019N,C,riviera,2026-02-20
BTB0019N,C,riviera,2026-02-23
BTB0019N,C,riviera,2026-02-13
BTB0019N,C,riviera,2026-02-15
BTB0019N,C,riviera,2026-02-19
BTB0019N,C,riviera,2026-02-16
BTB0019N,C,riviera,2026-02-11
BTB0019N,C,riviera,2026-02-09
BTB0019N,C,riviera,2026-02-14
BTB0019N,C,riviera,2026-02-08
BTB0019N,C,riviera,2026-02-21
BTB0020N,B,riviera,2026-02-16
BTB0020N,B,riviera,2026-02-15
BTB0020N,B,riviera,2026-02-18
BTB0020N,B,riviera,2026-02-07
BTB0020N,B,riviera,2026-02-13
BTB0020N,B,riviera,2026-02-09
BTB0020N,B,riviera,2026-02-23
BTB0020N,B,riviera,2026-02-08
BTB0020N,B,riviera,2026-02-21
BTB0020N,B,riviera,2026-02-12
BTB0020N,B,riviera,2026-02-14
BTB0020N,B,riviera,2026-02-19
BTB0020N,B,riviera,2026-02-17
BTB0020N,B,riviera,2026-02-10
BTB0020N,B,riviera,2026-02-22
BTB0020N,B,riviera,2026-02-20
BTB0020N,B,riviera,2026-02-11
BTB0021N,B,riviera,2026-02-07
BTB0021N,B,riviera,2026-02-13
BTB0021N,B,riviera,2026-02-19
BTB0021N,B,riviera,2026-02-12
BTB0021N,B,riviera,2026-02-17
BTB0021N,B,riviera,2026-02-10
BTB0021N,B,riviera,2026-02-11
BTB0021N,B,riviera,2026-02-20
BTB0021N,B,riviera,2026-02-15
BTB0021N,B,riviera,2026-02-22
BTB0021N,B,riviera,2026-02-18
BTB0021N,B,riviera,2026-02-23
BTB0021N,B,riviera,2026-02-09
BTB0021N,B,riviera,2026-02-16
BTB0021N,B,riviera,2026-02-08
BTB0021N,B,riviera,2026-02-21
BTB0021N,B,riviera,2026-02-14
BTB0023,B,riviera,2026-02-21
BTB0023,B,riviera,2026-02-20
BTB0023,B,riviera,2026-02-15
BTB0023,B,riviera,2026-02-22
BTB0023,B,riviera,2026-02-17
BTB0023,B,riviera,2026-02-10
BTB0023,B,riviera,2026-02-07
BTB0023,B,riviera,2026-02-14
BTB0023,B,riviera,2026-02-09
BTB0023,B,riviera,2026-02-16
BTB0023,B,riviera,2026-02-19
BTB0023,B,riviera,2026-02-23
BTB0023,B,riviera,2026-02-12
BTB0023,B,riviera,2026-02-11
BTB0023,B,riviera,2026-02-18
BTB0023,B,riviera,2026-02-08
BTB0023,B,riviera,2026-02-13
BTB0026N,B,riviera,2026-02-09
BTB0026N,B,riviera,2026-02-22
BTB0026N,B,riviera,2026-02-21
BTB0026N,B,riviera,2026-02-23
BTB0026N,B,riviera,2026-02-14
BTB0026N,B,riviera,2026-02-08
BTB0026N,B,riviera,2026-02-20
BTB0026N,B,riviera,2026-02-19
BTB0026N,B,riviera,2026-02-11
BTB0026N,B,riviera,2026-02-15
BTB0026N,B,riviera,2026-02-18
BTB0026N,B,riviera,2026-02-07
BTB0026N,B,riviera,2026-02-16
BTB0026N,B,riviera,2026-02-13
BTB0026N,B,riviera,2026-02-10
BTB0026N,B,riviera,2026-02-17
BTB0026N,B,riviera,2026-02-12
BTB0028N,B,riviera,2026-02-11
BTB0028N,B,riviera,2026-02-22
BTB0028N,B,riviera,2026-02-07
BTB0028N,B,riviera,2026-02-17
BTB0028N,B,riviera,2026-02-14
BTB0028N,B,riviera,2026-02-10
BTB0028N,B,riviera,2026-02-13
BTB0028N,B,riviera,2026-02-19
BTB0028N,B,riviera,2026-02-08
BTB0028N,B,riviera,2026-02-20
BTB0028N,B,riviera,2026-02-23
BTB0028N,B,riviera,2026-02-15
BTB0028N,B,riviera,2026-02-16
BTB0028N,B,riviera,2026-02-21
BTB0028N,B,riviera,2026-02-09
BTB0028N,B,riviera,2026-02-18
BTB0028N,B,riviera,2026-02-12
BTB0029N,C,riviera,2026-02-19
BTB0029N,C,riviera,2026-02-09
BTB0029N,C,riviera,2026-02-11
BTB0029N,C,riviera,2026-02-16
BTB0029N,C,riviera,2026-02-15
BTB0029N,C,riviera,2026-02-23
BTB0029N,C,riviera,2026-02-18
BTB0029N,C,riviera,2026-02-14
BTB0029N,C,riviera,2026-02-13
BTB0029N,C,riviera,2026-02-22
BTB0029N,C,riviera,2026-02-07
BTB0029N,C,riviera,2026-02-20
BTB0029N,C,riviera,2026-02-21
BTB0029N,C,riviera,2026-02-10
BTB0029N,C,riviera,2026-02-17
BTB0029N,C,riviera,2026-02-08
BTB0029N,C,riviera,2026-02-12
BTB0030N,A,riviera,2026-02-10
BTB0030N,A,riviera,2026-02-09
BTB0030N,A,riviera,2026-02-23
BTB0030N,A,riviera,2026-02-17
BTB0030N,A,riviera,2026-02-14
BTB0030N,A,riviera,2026-02-18
BTB0030N,A,riviera,2026-02-22
BTB0030N,A,riviera,2026-02-12
BTB0030N,A,riviera,2026-02-11
BTB0030N,A,riviera,2026-02-07
BTB0030N,A,riviera,2026-02-15
BTB0030N,A,riviera,2026-02-19
BTB0030N,A,riviera,2026-02-13
BTB0030N,A,riviera,2026-02-21
BTB0030N,A,riviera,2026-02-16
BTB0030N,A,riviera,2026-02-20
BTB0030N,A,riviera,2026-02-08
BTB0031,D,riviera,2026-02-23
BTB0031,D,riviera,2026-02-09
BTB0031,D,riviera,2026-02-14
BTB0031,D,riviera,2026-02-13
BTB0031,D,riviera,2026-02-07
BTB0031,D,riviera,2026-02-12
BTB0031,D,riviera,2026-02-11
BTB0031,D,riviera,2026-02-20
BTB0031,D,riviera,2026-02-21
BTB0031,D,riviera,2026-02-16
BTB0031,D,riviera,2026-02-19
BTB0031,D,riviera,2026-02-17
BTB0031,D,riviera,2026-02-10
BTB0031,D,riviera,2026-02-08
BTB0031,D,riviera,2026-02-18
BTB0031,D,riviera,2026-02-15
BTB0031,D,riviera,2026-02-22
BTB0032-10,D,riviera,2026-02-10
BTB0032-10,D,riviera,2026-02-07
BTB0032-10,D,riviera,2026-02-17
BTB0032-10,D,riviera,2026-02-14
BTB0032-10,D,riviera,2026-02-19
BTB0032-10,D,riviera,2026-02-22
BTB0032-10,D,riviera,2026-02-08
BTB0032-10,D,riviera,2026-02-23
BTB0032-10,D,riviera,2026-02-09
BTB0032-10,D,riviera,2026-02-20
BTB0032-10,D,riviera,2026-02-11
BTB0032-10,D,riviera,2026-02-21
BTB0032-10,D,riviera,2026-02-18
BTB0032-10,D,riviera,2026-02-13
BTB0032-10,D,riviera,2026-02-15
BTB0032-10,D,riviera,2026-02-12
BTB0032-10,D,riviera,2026-02-16
BTB0032-2,A,riviera,2026-02-10
BTB0032-2,A,riviera,2026-02-11
BTB0032-2,A,riviera,2026-02-07
BTB0032-2,A,riviera,2026-02-18
BTB0032-2,A,riviera,2026-02-09
BTB0032-2,A,riviera,2026-02-20
BTB0032-2,A,riviera,2026-02-12
BTB0032-2,A,riviera,2026-02-22
BTB0032-2,A,riviera,2026-02-16
BTB0032-2,A,riviera,2026-02-08
BTB0032-2,A,riviera,2026-02-23
BTB0032-2,A,riviera,2026-02-17
